,Mean,25th,50th,75th
48,145.26772156389697,66.5,100.0,170.0
49,145.41807214665877,67.0,100.0,171.0
50,145.94593379551853,67.0,100.0,175.0
51,150.66011089521822,69.0,105.0,179.0
52,151.00744058197674,69.0,105.0,179.0
53,146.01947191596082,67.0,100.0,175.0
54,145.3185838615079,66.0,100.0,170.0
55,145.22477650063857,66.0,100.0,170.0
56,145.98010550469567,67.0,100.0,175.0
57,146.5019876011547,67.0,100.0,175.0
58,151.76839411388355,69.0,106.0,180.0
59,152.09500450258307,69.0,107.0,180.0
60,146.95376242309513,67.0,100.0,175.0
61,146.38347608006436,67.0,100.0,175.0
62,146.0501123861351,67.0,100.0,175.0
63,146.15616866215512,67.0,100.0,175.0
64,146.85957064072522,67.0,100.0,175.0
65,151.56980658007015,69.0,105.0,180.0
66,151.67752489331437,69.0,106.0,180.0
67,146.8637299689919,67.0,100.0,175.0
68,146.1206313149239,67.0,100.0,175.0
69,146.1175551927309,67.0,100.0,175.0
70,146.40675800383332,67.0,100.0,175.0
71,146.8195654232153,67.0,100.0,175.0
72,151.49098106141412,69.0,106.0,180.0
73,151.68628194793493,69.0,106.0,180.0
74,146.9094309251018,67.0,100.0,175.0
75,146.376378437219,67.0,100.0,175.0
76,146.27100835364556,67.0,100.0,175.0
77,146.55999905345607,67.0,100.0,175.0
78,147.16214104779718,67.0,100.0,175.0
79,153.20636087657718,69.0,108.0,180.0
80,153.6572885778674,69.0,109.0,182.0
81,148.81582563373607,68.0,101.0,175.0
82,147.3297814401743,67.0,100.0,175.0
83,146.97095583013777,67.0,100.0,175.0
84,147.03103546233606,67.0,100.0,175.0
85,147.50435709211462,67.0,100.0,175.0
86,152.05376497094747,69.0,106.0,180.0
87,153.40584731483898,69.0,107.0,182.0
88,149.1374848937229,67.0,100.0,177.0
89,148.70235698211536,67.0,100.0,175.0
90,148.78901864177936,67.0,100.0,175.0
91,148.87183739221075,67.0,100.0,175.0
92,149.28359871102265,67.0,100.0,177.0
93,153.55868600318055,69.0,107.0,183.0
94,153.97742701163068,69.0,107.0,185.0
95,149.8950586562389,68.0,101.0,179.0
96,149.90295448622265,67.0,101.0,179.0
97,150.42490226276507,68.0,101.0,179.0
98,150.59663546973107,68.0,102.0,179.0
99,151.76521058993623,68.0,105.0,180.0
100,155.6195280600133,69.0,109.0,186.0
101,155.32665416300657,69.0,109.0,185.0
102,150.24140056420833,68.0,101.0,179.0
103,149.53522428378474,67.0,100.0,178.0
104,149.44089767287548,67.0,100.0,179.0
105,149.6078775239359,67.0,101.0,179.0
106,150.1105527638191,68.0,102.0,179.0
107,154.35553709198814,69.0,108.0,185.0
108,155.0952946203884,69.0,109.0,185.0
109,150.71601953254634,68.0,104.0,179.0
110,149.93656247778384,68.0,102.0,179.0
111,149.73783233022132,68.0,101.0,179.0
112,149.8610939944068,68.0,101.0,179.0
113,150.2506519368451,68.0,102.0,179.0
114,154.34782195394376,69.0,108.0,185.0
115,154.8984859648706,69.0,109.0,185.0
116,150.25146559703796,68.0,103.0,179.0
117,151.69031063860083,69.0,105.0,179.0
118,151.77500356007025,69.0,104.0,179.0
119,153.93018066139638,69.0,105.0,181.0
120,156.40042297364732,70.0,109.0,188.0
121,159.64892353025047,70.0,110.0,194.0
122,159.92602537902192,70.0,110.0,194.0
123,154.85848832795597,70.0,108.0,185.0
124,154.02812359204194,70.0,108.0,182.0
125,152.69762700613992,69.0,105.0,180.0
126,153.02195405296476,69.0,106.0,180.0
127,153.56333586265768,70.0,107.0,180.0
128,157.79101144947504,70.0,110.0,189.0
129,158.435697657846,70.0,110.0,190.0
130,154.190735953324,70.0,109.0,183.0
131,154.1832128037937,70.0,109.0,183.0
132,153.70773754475826,70.0,108.0,180.0
133,154.1089503391358,70.0,109.0,182.0
134,154.69757347185654,70.0,109.0,185.0
135,159.41193242568966,72.0,113.0,193.0
136,159.76894929430213,72.0,112.5,194.0
137,156.17983392645314,70.0,110.0,188.0
138,155.85389286900414,70.0,110.0,186.75
139,155.46598510365766,70.0,110.0,185.0
140,155.1358686626652,70.0,110.0,185.0
141,155.78341637010675,70.0,110.0,185.0
142,159.76211411868152,72.0,113.0,193.0
143,160.31459605923038,72.0,114.0,195.0
144,156.38341759832895,70.0,110.0,187.0
145,156.07638262520769,70.0,110.0,185.0
146,155.7975789223831,70.0,110.0,185.0
147,155.11432300937463,70.0,109.0,185.0
148,155.15203512519284,70.0,109.0,185.0
149,160.25286481860113,72.0,114.0,194.0
150,160.7726364846871,72.0,115.0,195.0
151,155.654157468727,70.0,110.0,185.0
152,155.68907822289728,70.0,110.0,185.0
153,154.58769931662871,70.0,109.0,185.0
154,154.81745052441744,70.0,109.0,185.0
155,155.3580311372698,70.0,109.0,185.0
156,159.61672134265203,71.0,112.0,193.0
157,159.94299298704385,72.0,112.0,195.0
